topic_id,name,description,keywords,users,message_count,created_at,updated_at
0246a691-19af-4c24-9742-9302dcb97672,SM Pro - Link Style Consistency Across Platform,"Discussion on ensuring link styles are consistent across SM Pro platform, specifically addressing dashed vs. non-dashed styles in brand kit and website links.",SM Pro;link style;dashed links;brand kit;component style,Abdurrahman,1,2025-12-11T20:24:52.98Z,2025-12-11T20:24:53.836Z
02f15f35-0577-4860-96c6-930c3f792571,Stacked Marketer - Newsletter Subscription to WHAT THE AFF List Integration,Confirming the integration process for adding users who subscribe to the Stacked Marketer free newsletter to the WHAT THE AFF list on Campaign Monitor (CM).,Stacked Marketer;newsletter;subscription;WHAT THE AFF;Campaign Monitor;integration,Parnia;Manu;Abdurrahman,3,2025-12-11T21:11:32.262Z,2025-12-11T21:12:12.619Z
03387707-bb37-4f04-b13f-c403c2660db7,SM Pro - Campaign Link Custom Query Validation,Discussion on validating the addition of a custom query to campaign links in the 'You Signed Up For This' feature to track content during the user journey.,SM Pro;signup flow;landing page;optimization;user journey,Abdurrahman,2,2025-12-11T21:07:50.753Z,2025-12-11T21:08:02.064Z
03e65d57-2b3d-44ee-8d24-35604a943e45,Course Visibility Issue on Stacked Marketer Page,Investigate the issue where a newly released course is not showing up on the Stacked Marketer courses page. Determine if there is a limit to the number of courses displayed or if there is another underlying issue.,course visibility;Stacked Marketer;course limit;display issue,Manu,1,2025-12-11T20:48:56.846Z,2025-12-11T20:48:57.921Z
04da0207-2da5-4751-936e-fc151a755b08,Production Deployment - Upcoming Content and User Redirection,"Tasks ready for production deployment: 1) Upcoming content updates, 2) Redirecting logged-out users from account page to login page. Decision needed on staging check or direct live deployment.",production deployment;upcoming content;user redirection;staging;live deployment,Masoud Tahsiri;Manu,2,2025-12-11T20:41:56.989Z,2025-12-11T20:42:05.462Z
04f79545-89e9-421e-827c-183cb0072f43,Optimize Load Speed for Newsletter Signup Pages,"Investigate and resolve the slow loading time issue on the newsletter signup pages. Gather information on specific cases such as device type, browser, and user status to replicate the issue.",optimize;load speed;newsletter;signup pages;performance,Parnia,1,2025-12-11T20:30:20.494Z,2025-12-11T20:30:21.386Z
05125fb1-5e5e-46c2-a1ce-d7b654441e10,Staging Environment - Automation Flow Implementation and QA Updates,"Updates on the automation flow implementation on the staging environment, including QA approval, minor fixes, and addressing internal challenges causing delays. Ensures readiness for production deployment.",staging;production;deployment;persistence;bug fixes;adjustments,Manu;Parnia,4,2025-12-11T20:00:41.957Z,2025-12-11T21:48:18.546Z
05381bec-2af5-48c7-bb6e-d47679d5f1ed,Refactored Website - Feedback Document Comments,Ensure comments are added to the feedback document for the refactored website to track new items and relay feedback to the team effectively.,refactored website;local copy;development progress;website progress,Manu;Parnia,11,2025-12-11T21:02:27.572Z,2025-12-11T21:29:45.725Z
06243143-c263-43a4-9876-fa3505d4c0d5,Course Offering Planning for Next 12 Months,Discussion on the expected number of courses to be offered over the next 12 months and related planning considerations.,course planning;course limit;next 12 months;course offering,Manu,1,2025-12-11T21:13:36.111Z,2025-12-11T21:13:37.393Z
06379b13-84b3-4293-b3e1-052289724933,Email Preference Center - Token Permission Error,"Investigate the issue where a subscriber's token does not work, resulting in a 'Sorry, you don’t have permission' message when attempting to change their email. This appears to be an edge case as manual updates were required.",Email Preference Center;token;permission error;edge case;manual update,Manu,1,2025-12-11T20:28:45.128Z,2025-12-11T20:28:46.115Z
06a2c8f4-8fcc-4be0-a1f1-17e539bee99f,Offer Wall Analytics Update Without Survey,Discussion and prioritization of updating the Offer Wall Analytics to function immediately after signup without requiring a survey. This task is prioritized alongside planned plugin updates.,Offer Wall Analytics;subscription;survey;data collection,Manu,2,2025-12-11T20:56:20.88Z,2025-12-11T20:56:37.018Z
080eec95-3b3a-470b-8829-57e67a710006,AutoPub - JavaScript Error in Template Preview,"Investigate the error occurring when creating a preview in AutoPub, which is caused by JavaScript in the template. This issue needs to be addressed to ensure smooth preview generation without errors.",AutoPub;template;JavaScript;preview;error,Manu;Parnia,2,2025-12-11T21:30:22.395Z,2025-12-11T21:31:04.359Z
08b29b9d-0455-411d-a03a-0f390eb164b5,SM Pro - Content Access Issue for Active Subscribers,"Investigate and resolve the issue where users with active subscriptions are unable to access content, being redirected to the homepage and asked for a password. Possible cookie acceptance issue suspected.",SM Pro;content access;active subscription;cookie issue;redirect,Manu,1,2025-12-11T20:26:33.896Z,2025-12-11T20:26:34.82Z
0a03b01b-6c4e-4c4e-966d-c8e9d18e7ea8,Sprint Planning and Task Prioritization [August 7th - August 20th],"Discussion and decisions regarding task priorities and time estimates for the sprint period from August 7th to August 20th, including planning for upcoming tasks and resource allocation.",sprint;July;August;automation;newsletter;Pro header,Parnia;Manu,12,2025-12-11T21:45:01.365Z,2025-12-11T21:49:14Z
0ab88113-dc13-4939-bca5-2a907b08d006,Appreciation for Dev Team,Messages expressing appreciation and gratitude towards the development team for their efforts and contributions.,appreciation;dev team;gratitude,Manu,1,2025-12-11T21:07:06.914Z,2025-12-11T21:07:08.027Z
0eac259b-0b8b-4e37-8e3a-3ba9577b6c7c,User Management - Channel Exit,Tracking users who leave the channel for team management purposes.,user exit;channel leave;team management,Navid;Slackbot,2,2025-12-11T20:54:22.978Z,2025-12-11T21:53:49.367Z
0ecd163a-c457-42e6-9d93-f1d589fa4df5,SM Pro - User Status and Abandoned Signup Email Issue,"Address the issue where the SM Pro list in CM is not correctly tagging users as ACTIVE or CANCELED, leading to all users receiving Abandoned Signup emails. Investigate how to pass user status information accurately and update the system accordingly.",SM Pro;user status;ACTIVE;CANCELED;Abandoned Signup emails;MemberPress;MailOptin,Manu,4,2025-12-11T19:59:40.742Z,2025-12-11T21:14:34.171Z
125de13a-65a8-433f-8862-e7ea2ccd9598,Marketing Content Update Frequency,Discussion on how marketing content changes over a 12-month period and the need for updated content consumption.,marketing;content;update;frequency;12 months,Manu,1,2025-12-11T21:19:06.033Z,2025-12-11T21:19:06.845Z
13b6d105-2606-426f-813c-c571dd45a162,Local Domain Email Issue - Stackedmarketer,"Investigate the issue of emails being sent with the stackedmarketer.local domain, which is not set up. Determine if there is a local installation or misconfiguration causing this.",stackedmarketer.local;email issue;local installation;domain configuration,Manu,1,2025-12-11T20:57:11.813Z,2025-12-11T20:57:14.941Z
163ccfd3-e2d4-442e-afc8-65239bf69611,SM Pro Report - PDF Content Lock Overlay and Custom Snippet Removal,"Address the issue of custom HTML code inserted into the post excerpt of SM Pro reports, which is not standard practice and causes display issues.",SM Pro;report;HTML code;post excerpt;display issue,Abdurrahman;Manu,2,2025-12-11T20:29:47.61Z,2025-12-11T20:29:57.24Z
16ece0fb-f851-4578-b895-193650a47031,Job Manager Plugin - Setup and Implementation Estimate,"Discussion on evaluating the Job Manager Plugin for the job board, including setup and implementation estimates.",Job Manager Plugin;job board;setup;implementation;estimate,Parnia;Manu,2,2025-12-11T20:46:25.673Z,2025-12-11T20:46:40.599Z
192d8626-9f06-4d4e-9730-e026bafd9642,Sprint Recap - Design and Development Progress [Dec 25th - Jan 7th],"Summary of tasks completed and in progress during the sprint from Dec 25th to Jan 7th, covering design and development activities including Pro Checkout, Homepage, Reports, and various SM features.",sprint recap;design;development;Pro Checkout;Homepage;Reports;SM features,Parnia,1,2025-12-11T21:07:35.694Z,2025-12-11T21:07:36.835Z
1a66feec-5b9b-4edb-8276-e1d3c6ed08c5,Cloudways Server Scaling and Upgrade Testing,"Discussion and testing of scaling up the Cloudways server to 8GB and faster CPU, including potential downsides and backup considerations.",Cloudways;server upgrade;scaling;backup;CPU,Manu,3,2025-12-11T20:29:06.889Z,2025-12-11T22:11:02.151Z
1d0c0586-6551-4176-8917-548586904876,BBPress Migration to Alternative Solution,"Discussion on transitioning from BBPress to a different forum solution, exploring potential alternatives and migration strategies.",BBPress;forum migration;alternative solution;transition,Manu,1,2025-12-11T21:55:34.391Z,2025-12-11T21:55:35.302Z
1d2addd8-1769-4b07-a776-8c288d6727a2,Scheduled Post Email Notification Failure,Issue where scheduled posts are published but email notifications are not sent to subscribed users due to a background process issue.,scheduled post;email notification;background process;notification failure,Abdurrahman,1,2025-12-11T19:57:52.152Z,2025-12-11T19:57:53.425Z
1dbe4069-91e3-4457-a304-c3a5e8ebeeea,Newsletter Content Usage for Upcoming Issues,"Discussion about utilizing new content for upcoming newsletters, ensuring alignment with editorial goals and timelines.",newsletter;content;upcoming;editorial;usage,Manu,1,2025-12-11T21:59:27.561Z,2025-12-11T21:59:28.495Z
1ebaacc9-d4be-4cb9-a66f-77d8ee8432aa,Gravity Forms - Mobile Screen Jump Bug,"Investigate and resolve the issue where selecting an answer in Gravity Forms on mobile devices causes the screen to jump to the top, requiring users to scroll back down to continue.",Gravity Forms;mobile;screen jump;bug;survey,Manu,2,2025-12-11T20:41:18.099Z,2025-12-11T20:41:41.94Z
1ff10478-0bb8-4349-8805-a12153974cb7,SEO Services List and Estimates Review,Review and finalize the list of SEO services and estimates with partners. Document shared for feedback and updates.,SEO services;estimates;document review;partner collaboration,Parnia,1,2025-12-11T20:46:10.493Z,2025-12-11T20:46:11.786Z
2422071c-7c14-47ea-943d-bcaf992360b8,General Discussion,General messages and conversations,general;chat;discussion,Parnia,1,2025-12-11T21:29:58.649Z,2025-12-11T21:29:59.741Z
25c00bf5-e945-4f86-a69f-270a9c529769,SM Pro - Loading Spinner Customization in Forums,"Discussion on the customization of the loading spinner in the wpForo plugin, specifically moving it from the top right to the middle of the page or incorporating it within the submit button.",SM Pro;loading spinner;wpForo;customization;forums,Abdurrahman,1,2025-12-11T20:25:08.315Z,2025-12-11T20:25:09.51Z
268bfd76-515b-4f98-a5fc-871b346d528e,SM Pro - Mobile Coupon Section Update and Visibility Improvement,"Discussion and updates regarding the Coupon section on the SM Pro mobile platform, including visibility improvements and user experience enhancements.",SM Pro;checkout page;mobile;coupon field;user experience;improvement,Manu;Parnia,2,2025-12-11T20:06:18.937Z,2025-12-11T20:07:51.106Z
28de3769-2c43-40b2-bad4-4a7dfc5b254d,Retainer Rate Negotiation for Increased Hours,Discussion on negotiating the hourly rate for increased retainer hours and exploring options for a more favorable rate.,retainer;rate negotiation;hourly rate;increased hours,Manu,2,2025-12-11T21:52:47.254Z,2025-12-11T22:02:04.808Z
2a1f173d-3bcd-44c3-9e2b-ee35bde22fb3,User Join Notification,"Notification of a user joining the channel, typically not requiring further action or categorization.",user join;channel notification;new member,kamaji;Hossein Molavi;Dev Refact;workform-stage;Thomas,6,2025-12-11T19:55:49.399Z,2025-12-11T19:57:10.283Z
2d49e0a2-9c64-4914-8bfc-e05ece3b1742,"QA Process and Updates for Courses, Email Templates, and AutoPub","Ongoing QA process and updates for the Courses, Email Templates, and AutoPub, including Pro branding and design optimizations. Awaiting final review and feedback on email templates.",QA process;Courses;Checkout;Brain Teaser;Forum;Pro branding;email templates,Parnia,2,2025-12-11T21:27:36.025Z,2025-12-11T21:33:05.347Z
2f815cdc-2141-4c2c-8d35-0b657794112a,Free Homepage - New Design Update,Announcement of the updated design for the Free Homepage on the staging environment. Includes a link to the staging site for review.,Free Homepage;design update;staging;review,Parnia,1,2025-12-11T21:36:22.654Z,2025-12-11T21:36:23.643Z
2fef7644-3383-44d2-bf37-28ae10a69e8c,Stacked Marketer Pages - Broken Elements,"Investigate issues with various Stacked Marketer pages, including broken navigation, footers, testimonials, and other elements like the Thank You page.",Stacked Marketer;page issue;navigation;footer;testimonials,Manu,5,2025-12-11T20:50:13.82Z,2025-12-11T21:31:12.867Z
328f8e07-656d-417b-8ca3-053d144815a8,UI Text Change - Notify Me to Coming Soon,Discussion about changing the UI text from 'Notify Me' to 'Coming Soon' for better user communication.,UI text change;Notify Me;Coming Soon;button text update,Manu,1,2025-12-11T19:58:09.397Z,2025-12-11T19:58:10.649Z
33016c3f-7802-4eb2-98d3-306cfde03aa0,AutoPub - Database Error During Post Publishing,Investigate recurring database errors occurring during post publishing in AutoPub. Check logs for specific timeframes when the error is reported to identify root causes and potential fixes.,AutoPub;publish;preview;failure;update,Manu,2,2025-12-11T20:39:47.368Z,2025-12-11T20:59:25.828Z
3343601f-5724-4617-ae17-a52c94132503,Zapier Integration and Task Usage for Token Updates,"Discussion on the usage of Zapier tasks in relation to Token updates for CM, including implications and efficiency concerns.",Zapier;plugin;integration,Manu,4,2025-12-11T21:33:30.697Z,2025-12-11T22:10:54.207Z
37316834-6e90-4767-894e-e553fd6294ff,Branding Color Discrepancy - Tactics Reds vs. Blue Hex Code,"Address the issue of Tactics reds not being updated and still showing the blue hex code, ensuring consistency across branding materials.",branding;PDF;discrepancy;Figma;website;style guide,Manu;Julien Tricheux,3,2025-12-11T21:04:13.873Z,2025-12-11T21:04:48.003Z
375bbbe8-3a1a-487e-b0cb-f7c12526e528,SM Pro - Notify Me Feature for Upcoming Content,Discussion and updates regarding the implementation and status of the 'Notify Me' feature for upcoming content in SM Pro.,SM Pro;Notify Me;Upcoming Content;feature update,Manu,1,2025-12-11T20:02:33.756Z,2025-12-11T20:02:34.691Z
379fffa6-385d-43b4-9333-4f12c0f08def,September Hours and Q4 Planning Acknowledgment,Discussion about the remaining hours for September and planning tasks for Q4 based on available hours.,September hours;Q4 planning;task allocation,Manu;Parnia,4,2025-12-11T20:35:00.663Z,2025-12-11T22:10:44.518Z
37c9a673-4484-408c-aaab-66cdfa8755d1,SM Pro - Information Architecture and Category Intersection Enhancement,Discussion on improving the Information Architecture to allow filtering and intersection of categories for reports by topic or business model in the SM Pro section. This includes addressing limitations in current category pages and planning for new design implementations.,taxonomy;structure;Full Archive;Pro category;selectors,Abdurrahman;Manu,6,2025-12-11T21:19:48.003Z,2025-12-11T22:12:06.747Z
380cd5de-898e-4e5e-9228-be310e7dfc46,Channel Join Notifications,Notifications for users joining the channel.,join;channel;notification,Saeed;Saeedreza,2,2025-12-11T20:01:44.81Z,2025-12-11T21:00:38.82Z
38c4f0a9-5e97-4f98-9d54-9e0bf9fd36d4,PoM Publishing on WordPress - Section and Tag Usage,"Discussion on the structure and usage of tags in PoM publishing on WordPress, focusing on the inclusion and implications of different sections like 'FROM THE CREW' and '##IntroText'.",PoM;WordPress;publishing;intro section;sample document,Masoud Tahsiri;Manu,4,2025-12-11T22:03:25.976Z,2025-12-11T22:03:57.495Z
38d468a3-8925-435c-a57e-059a4b4b1cc6,SM Pro - Enable Comments on Courses/Lessons,Request to enable comments on courses/lessons using SM Pro Report styling for individual course lessons.,SM Pro;comments;courses;lessons;styling,Manu;Parnia,4,2025-12-11T19:57:23.143Z,2025-12-11T20:35:22.568Z
3af1d44e-3a92-426c-8df5-2345d6c81e4e,Cookie Banner - Mobile Visibility Issue,Investigate the issue with the cookie banner not displaying correctly on mobile devices across all pages.,cookie banner;mobile;visibility issue;all pages,Manu,1,2025-12-11T21:36:55.608Z,2025-12-11T21:36:56.59Z
3baa6597-9ba3-4014-b89e-6050dafc2b1e,Task Scheduling and Retainer Approval for April and May,"Discussion on the allocation of hours for various tasks in April and May, tracking of completed and pending tasks, and seeking approval to exceed the retainer limit for additional support hours.",April hours;task tracking;retainer approval;support hours,Parnia;Manu,2,2025-12-11T20:04:52.48Z,2025-12-11T20:05:08.188Z
3d8cfd68-c5d5-4620-972c-27e277bb486b,Staging Environment - Page Updates and Pre-Launch Testing,"Discussion about accessing the staging environment to test and update pages, ensuring readiness for the actual launch.",staging;access;testing;tracking;integrations,Manu;Asghar;Parnia,8,2025-12-11T21:29:11.542Z,2025-12-11T21:40:51.877Z
3e697188-2add-4715-a019-3b28bd424c80,Channel Activity - User Joined,Notifications related to users joining the channel.,user joined;channel activity;new member,Adrin,1,2025-12-11T21:24:23.152Z,2025-12-11T21:24:24.471Z
3f1d936d-4e37-4b53-9181-f3cfff29d8f6,Post Editor - Subscription Form Default State Configuration,"Discussion on the default state configuration of the Subscription Form option in the post editor, including the implications of switching it from ON to OFF.",post editor;subscription form;default state;ON;OFF,Abdurrahman,1,2025-12-11T21:35:48.521Z,2025-12-11T21:35:50.287Z
3f4ff38a-a1f6-4394-81c6-690829601e5d,MemberPress and Stripe Payment Detection Issue,"Investigate and resolve the issue where MemberPress is not detecting payments made through Stripe, leading to incorrect subscription cancellations.",MemberPress;Stripe;payment detection;subscription cancellation;urgent,Manu,1,2025-12-11T20:55:28.684Z,2025-12-11T20:55:29.64Z
41249302-a007-472a-ae1a-c98840d22029,Outlook Devices - Compatibility Issues,"Investigate and resolve compatibility issues affecting some Outlook devices. The issue is not universal but affects certain devices, requiring identification of the specific conditions or configurations causing the problem.",Outlook;devices;compatibility;issues,Manu,1,2025-12-11T21:47:57Z,2025-12-11T21:47:58.034Z
4192aab6-f8ec-4b2c-927d-163648da882b,Monthly Meeting Schedule Change,Discussion about changing the frequency of meetings to monthly due to a smaller retainer and to optimize time usage.,monthly meeting;schedule change;retainer;time optimization,Parnia,1,2025-12-11T20:31:18.288Z,2025-12-11T20:31:19.345Z
421aa684-3cc7-4476-a719-0980a5e408f1,Channel Join Notifications,"Notifications for users joining the channel, typically not requiring further action.",join;channel;notification,Ali Karimi,1,2025-12-11T20:00:11.932Z,2025-12-11T20:00:13.157Z
432abe10-7a03-48ca-8bc9-8f801f197b0c,Twitter Logo Update to X,Discussion and implementation of updating the Twitter logo to X in the relevant platforms and materials.,Twitter;logo;update;X,Manu,1,2025-12-11T20:37:58.972Z,2025-12-11T20:38:00.251Z
44546502-8f95-46c8-8dc3-2d41e4f9f6d0,AutoPub - Reliable Testing with Newsletter Examples,Creation of a folder with real newsletter examples for each template to ensure more reliable testing for AutoPub. This approach aims to provide a realistic test environment by using actual content that matches the standard newsletters.,AutoPub;newsletter;testing;examples;realistic,Manu,1,2025-12-11T22:05:47.858Z,2025-12-11T22:05:48.854Z
46e7d92f-5f4c-49ed-89c1-cdc4c5ce7783,Stackedmarketer Website Launch Completion,Announcement of the successful completion of the Stackedmarketer website launch.,Stackedmarketer;website launch;completion;announcement,Parnia;Masoud Tahsiri,2,2025-12-11T19:58:43.99Z,2025-12-11T20:23:41.657Z
4784195e-27e9-46d9-9052-1f750ddd2dd1,SM Pro - Learning Hub Order Adjustment Based on Feedback,"Adjustments made to the order in the SM Pro Learning Hub based on user feedback, implemented on both staging and production environments.",SM Pro;Learning Hub;order change;feedback;staging;production,Manu,1,2025-12-11T20:06:31.148Z,2025-12-11T20:06:32.038Z
47946cf3-70f5-41de-a485-32868fa90f6b,SM Pro Project Clarification and Meeting Agendas,"Includes discussions on SM Pro project requirements, design and branding updates, and meeting agendas for scope definition and planning.",SM Pro;project clarification;branding retouch;design timeline;homepage;newsletter email template;single article;article archive,Parnia,2,2025-12-11T22:05:27.105Z,2025-12-11T22:06:24.408Z
491fb757-c914-4903-b04a-d959d3597746,Database Username Change Request,"Request to change the username in the database for a specific user, particularly for cases where the username was automatically allocated and needs to be updated to a preferred one.",database;username;change;request;update,Manu,1,2025-12-11T20:00:57.11Z,2025-12-11T20:00:58.021Z
49576b27-8bd0-4e0c-bab4-9d9adca009d8,Learning Hub Updates - Design and Development Progress,"Comprehensive updates on the Learning Hub, including design and development progress. Covers new widget additions, navigation updates, and upcoming tasks for implementation.",Learning Hub;adjustments;social features;job board plugin;Tactics widget,Manu;Parnia,8,2025-12-11T20:36:54.539Z,2025-12-11T20:45:19.549Z
49b9bf9c-365c-4461-9433-9d1e3f60529d,SM Pro - UTM Tracking and Addition Issues in Campaign Monitor,Investigate and resolve issues where UTMs are not correctly passed and additions are not made correctly for the SM Pro list in Campaign Monitor.,UTM;tracking;SM Pro;Campaign Monitor;issue,Manu,3,2025-12-11T21:12:26.615Z,2025-12-11T21:12:49.066Z
4a473026-1f22-41a8-9d9d-e32c2f544e58,Sprint Recap and Planning [Nov 13th - Dec 10th],"Summary of tasks completed in the previous sprint (Nov 13th - 26th) and planned tasks for the current sprint (Nov 27th - Dec 10th), covering design updates, PHP 8.2 upgrade, and development tasks including Zapier removal and newsletter refactor.",sprint recap;AutoPub;PHP 8.2;design;SM Pro;newsletter,Parnia,2,2025-12-11T22:05:06.331Z,2025-12-11T22:08:39.979Z
4a90b19e-eacd-4972-ae98-834f8b75c7c4,AutoPub - Image Uploading Error with New Version,"Investigate the issue in AutoPub where the wrong images are uploaded, occurring sporadically with the newest version. This may be related to caching problems that prevent image updates.",AutoPub;image bug;WordPress;category assignment;hidden formatting,Manu;Parnia,9,2025-12-11T21:14:47.74Z,2025-12-11T22:01:48.304Z
4ac5b965-c57f-427f-8a84-2f4e19f836ad,Stackedmarketer Website Launch Strategy and Phases,"Discussion on the strategy and phased approach for the Stackedmarketer website launch, including options for full launch in April or a two-phased launch starting in mid-March.",Stackedmarketer;website launch;strategy;phases;scope changes,Parnia;Manu;Naghmeh,13,2025-12-11T21:21:53.282Z,2025-12-11T21:38:49.187Z
4daab490-288b-4a36-a29a-7bb4a74b7d7e,CM Test Entry - To Delete,Discussion about a test entry in Campaign Monitor marked as 'To Delete' by Manu.,CM;Campaign Monitor;test entry;delete;Manu,Manu,1,2025-12-11T22:13:12.527Z,2025-12-11T22:13:13.566Z
4e34ee76-52b8-4485-b9d0-2d4e5fcd90fa,User Join Notifications,"Notifications for users joining the Slack channel, indicating new members or returning participants.",user join;channel join;new member;participant notification,Ali,1,2025-12-11T22:08:18.768Z,2025-12-11T22:08:19.581Z
4ee3eb00-d716-4fe4-8a9f-f0e22527f611,Channel Join Notifications,Track notifications of users joining the channel for administrative purposes.,join;channel;notification;user,Abdurrahman,1,2025-12-11T22:06:07.981Z,2025-12-11T22:06:08.906Z
4effc6a5-12e9-4d53-8318-377793ac61fc,Website - Restricted Post Scheduling Bug,Issue where scheduling a restricted post for the 1st of the following month results in it not being published and showing as 'past publishing date'. Requires manual publishing.,restricted post;scheduling;publishing date;manual publish,Manu,1,2025-12-11T21:56:12.196Z,2025-12-11T21:56:13.096Z
4f5c933a-d3b9-4536-b79f-f68cd27993e0,Out of Office Notification - Naghmeh,Notification about Naghmeh being out of office next week and Parnia assisting during this time.,out of office;OOO;Naghmeh;Parnia;assistance,Naghmeh;Parnia,2,2025-12-11T20:04:33.153Z,2025-12-11T21:54:00.919Z
51755220-11cd-4df3-8096-8cca5ca37eaa,WordPress Critical Error - Website Offline,Investigate the critical error causing the WordPress installation to take the website offline. This includes checking server logs and configurations specific to WordPress to identify the root cause and restore website functionality.,website access;server log;error;cache clearing;incognito mode,Manu,4,2025-12-11T20:27:28.909Z,2025-12-11T21:01:23.766Z
530404e6-4259-4a24-87cc-d6f378b25a6b,AutoPub - Sponsor Logo and Intro Update Issue in WordPress,"Investigate and resolve the issue where sponsor logos and intros are not updated correctly in AutoPub files on WordPress, causing them to appear together or not at all, which is incorrect behavior.",AutoPub;HTML;WordPress;generation;issue,Manu;Parnia,4,2025-12-11T21:59:03.829Z,2025-12-11T22:05:36.75Z
